Name,District,Feed
Binh Duong Province,Thu Dau Mot City,2696918
Binh Duong Province,Bau Bang District,176132626
Binh Duong Province,Dau Tieng District,145523400
Binh Duong Province,Ben Cat Town,20399874
Binh Duong Province,Phu Giao District,161869070
Binh Duong Province,Tan Uyen Town,27799979
Binh Duong Province,Di An Town,2600394
Binh Duong Province,Thuan An Town,8578526
Binh Duong Province,Bac Tan Uyen District,67409632
Binh Phuoc Province,Phuoc Long Town,1827084
Binh Phuoc Province,Dong Xoai Town,8180494
Binh Phuoc Province,Binh Long Town,17581015
Binh Phuoc Province,Bu Gia Map District,11080556
Binh Phuoc Province,Phu Rieng District,8138681
Binh Phuoc Province,Loc Ninh District,43903284
Binh Phuoc Province,Bu Dop District,14605751
Binh Phuoc Province,Hon Quan District,32115261
Binh Phuoc Province,Dong Phu District,29413457
Binh Phuoc Province,Bu Dang District,10941238
Binh Phuoc Province,Chon Thanh District,22445666
Long An Province,Can Duoc District,34354328
Long An Province,Duc Hoa District,51166402
Long An Province,Chau Thanh District,33779598
Long An Province,Thanh Hoa District,23836721
Long An Province,Can Giuoc District,22969182
Long An Province,Ben Luc District,21798985
Long An Province,Tan An City,25158286
Long An Province,Tan Tru District,25799156
Long An Province,Thu Thua District,17075447
Long An Province,Vinh Hung District,11424315
Long An Province,Tan Thanh District,9938932
Long An Province,Tan Hung District,10161206
Long An Province,Duc Hue District,13024959
Long An Province,Moc Hoa District,6466837
Long An Province,Kien Tuong Town,6873317
Tien Giang Province,My Tho City,32209568
Tien Giang Province,Go Cong Town,18174458
Tien Giang Province,Cai Lay Town,24864416
Tien Giang Province,Tan Phuoc District,28605396
Tien Giang Province,Cai Be District,139361606
Tien Giang Province,Cai Lay District,57097806
Tien Giang Province,Chau Thanh District,80778597
Tien Giang Province,Cho Gao District,293565658
Tien Giang Province,Go Cong Tay District,78307560
Tien Giang Province,Go Cong Dong District,61165001
Tien Giang Province,Tan Phu Dong District,16780553
Dong Nai Province,Bien Hoa City,20456815
Dong Nai Province,Long Khanh Town,78863302
Dong Nai Province,Tan Phu District,90741154
Dong Nai Province,Vinh Cuu District,97490269
Dong Nai Province,Dinh Quan District,81605080
Dong Nai Province,Trang Bom District,225375484
Dong Nai Province,Thong Nhat District,236567140
Dong Nai Province,Cam My District,179923593
Dong Nai Province,Long Thanh District,166874050
Dong Nai Province,Xuan Loc District,492877988
Dong Nai Province,Nhon Trach District,16145318
Dong Nai Province,Tay Ninh City,17383921
Dong Nai Province,Tan Bien District,69435251
Dong Nai Province,Tan Chau District,17153142
Dong Nai Province,Duong Minh Chau District,33822525
Dong Nai Province,Chau Thanh District,19409211
Dong Nai Province,Hoa Thanh District,9889566
Dong Nai Province,Go Dau District,13889645
Dong Nai Province,Ben Cau District,32516045
Dong Nai Province,Trang Bang District,40445041
Ho Chi Minh City,Tan Phu District,0
Ho Chi Minh City,Hoc Mon District,33074901.2930171
Ho Chi Minh City,Tan Binh District,0
Ho Chi Minh City,Binh Thanh District,0
Ho Chi Minh City,District 12,4816407.49789233
Ho Chi Minh City,Thu Duc District,4816407.49789233
Ho Chi Minh City,District 9,4816407.49789233
Ho Chi Minh City,Go Vap District,0
Ho Chi Minh City,District 1,0
Ho Chi Minh City,District 3,0
Ho Chi Minh City,Nha Be District,7659532.58159791
Ho Chi Minh City,Can Gio District,3566704.63122713
Ho Chi Minh City,Binh Tan District,0
Ho Chi Minh City,District 7,0
Ho Chi Minh City,District 5,0
Ho Chi Minh City,District 11,0
Ho Chi Minh City,Cu Chi District,159260626.521834
Ho Chi Minh City,District 8,0
Ho Chi Minh City,Binh Chanh District,14236875.8586988
Ho Chi Minh City,District 6,0
Ho Chi Minh City,District 10,0
Ho Chi Minh City,District 4,0
Ho Chi Minh City,Phu Nhuan District,0
Ho Chi Minh City,District 2,0
